,CE,EOT,Over X,Over Y,Over Z,Rise X,Rise Y,Rise Z,Set X,Set Y,Set Z,SS X,SS Y,SS Z
"RL [0, 0, 0] 1s",5.052247785466807,5.169761108948405e-05,3.0298771771793134e-05,3.7882433739388014e-05,2.120828694472596e-05,0.0,0.0,0.0,50.01,50.01,50.01,-2.8755300110443124e-05,-3.788150840327058e-05,-2.120631404148371e-05
"RL [1, 0, 0] 0.01s",5.073246111199663,0.011742055326961334,1.1628201111508383,0.03126154869503144,0.05409687150671514,0.0,0.0,0.0,1.3999999999999986,50.01,50.01,-2.8754951827747455e-05,-3.78818103107563e-05,-2.1205833514803918e-05
"RL [0, 0, 1] 0.01s",5.058480997434319,0.010175716300223188,0.17708206216439695,0.034510608610389785,0.9999787963801484,0.0,0.0,0.0,50.01,50.01,1.0799999999999983,-2.875506589937201e-05,-3.7881569120802045e-05,-2.1205859982220687e-05
"RL [1, 1, 1] 1s",5.107226414258534,0.014333494584954153,1.5179086519717717,1.2023204585734997,1.1041618499285328,0.0,0.0,0.0,2.7099999999999937,2.4199999999999946,2.5,-2.8755792538581737e-05,-3.788128898507548e-05,-2.1206341965673836e-05
"RL [1, -2, 3] 2s",5.088241696741197,0.012307892976522431,1.2470189162063445,2.3013747402621743,3.2735091370535567,0.0,0.0,0.0,3.549999999999997,2.769999999999996,2.6099999999999994,-2.875579133276851e-05,-3.788142951588469e-05,-2.120673069150314e-05
"RL [1, 1, -2] 2s",5.068824474517797,0.0038993716600654333,1.0832491879284047,1.0818863984990492,2.13735220005474,0.0,0.0,0.0,2.4399999999999977,2.3999999999999986,2.4299999999999997,-2.8755320214290947e-05,-3.7881377161430585e-05,-2.1207163055425582e-05
"RL [10, 10, 10] 8s",5.1855501874045995,0.04547541560999697,10.469061826700274,10.317259232611805,10.156285840504479,0.0,0.0,0.0,9.919999999999995,7.609999999999999,9.57,-2.8755601659824492e-05,-3.788147971128808e-05,-2.120711647535245e-05
"RL [4000, 5000, 2, 0.3141592653589793, 0.3, array([0, 0, 0])] 0s",5.117165116945882,0.021562294311067463,0.6019021434935012,0.30126956587425824,80.27946121150941,0.0,0.0,0.0,50.01,50.01,50.01,-4000.6015902927056,-4999.998766260799,78.00008225854513
"RL [4000, 5000, 1, 0.3141592653589793, 0.3, array([0, 0, 0])] 0s",5.07165525211639,0.009224682103542426,0.6016701876462025,0.3010379302357318,40.089391853688205,0.0,0.0,0.0,50.01,50.01,50.01,-4000.601590292567,-4999.998766260864,39.00008225726774
"RL [4000, 5000, 1, 0.3141592653589793, 2, array([0, 0, 0])] 0s",5.079323055188401,0.014432522651808811,4.010535768742615,2.00665477806056,40.08944315679357,0.0,0.0,0.0,50.01,50.01,50.01,-4004.010441108352,-4999.991337020774,39.00054756215083
"RL [4000, 5000, 1, 0.7853981633974483, 0.3, array([0, 0, 0])] 0s",5.07491277522497,0.012575920713775952,0.6094788628584341,0.30590075672846523,40.08934458044505,0.0,0.0,0.0,50.01,50.01,50.01,-4000.2946671609093,-4999.694265122425,38.99906002062066
"RL [4000, 5000, 1, 1.0471975511965976, 0.3, array([0, 0, 0])] 0s",5.077894900804662,0.017085658664866474,0.6162673156337478,0.3242394859484335,40.091492990311714,0.0,0.0,0.0,50.01,50.01,50.01,-4000.449587666374,-4999.727482324763,38.998924447328534
"RL [4000, 5000, 1, 1.0471975511965976, 1, array([0, 0, 0])] 0s",5.1244227525536,0.04886375810486819,2.057100551098865,1.0572292379322732,40.09504104647548,0.0,0.0,0.0,50.01,50.01,50.01,-4001.4984281999205,-4999.091480512117,38.99537402444806
"RL [4000, 5000, 0.5, 1.0471975511965976, 1, array([0, 0, 0])] 0s",5.112994555946482,0.047813706444023905,2.0570246287964307,1.050203844745901,20.03677516417587,0.0,0.0,0.0,50.01,50.01,50.01,-4001.498428199179,-4999.091480512789,19.4953740261554
